Title,Year,Rating,Votes,1,2,3,4,5,6,7,8,9,10,WorldwideBox Office
Regarding Henry,1991,6.7,32617.0,1857.0,2048.0,5905.0,10430.0,7303.0,3024.0,985.0,461.0,279.0,325.0,43001500.0
Return to the Blue Lagoon,1991,5.1,20102.0,1512.0,631.0,1214.0,2248.0,3713.0,4488.0,2896.0,1583.0,974.0,843.0,2807854.0
Ricochet,1991,6.1,18535.0,895.0,562.0,1943.0,4532.0,5547.0,2882.0,1131.0,481.0,278.0,284.0,21756163.0
Robin Hood: Prince of Thieves,1991,6.9,193883.0,13915.0,14924.0,40312.0,64318.0,35614.0,13645.0,5414.0,2628.0,1372.0,1741.0,390493908.0
The Rocketeer,1991,6.5,58158.0,4025.0,3316.0,8705.0,15492.0,14558.0,6961.0,2728.0,1148.0,591.0,634.0,46704056.0
Shattered,1991,6.5,10287.0,561.0,532.0,1601.0,3038.0,2551.0,1148.0,431.0,191.0,91.0,143.0,11511031.0
Showdown in Little Tokyo,1991,6.1,19099.0,1767.0,737.0,2062.0,3887.0,5006.0,2907.0,1329.0,661.0,359.0,384.0,2275557.0
The Silence of the Lambs,1991,8.6,1414310.0,331939.0,462724.0,395875.0,150323.0,39815.0,14335.0,6352.0,3643.0,2856.0,6448.0,272742922.0
Slacker,1990,7.0,21883.0,2302.0,2376.0,4951.0,5850.0,3127.0,1457.0,695.0,372.0,330.0,423.0,1228108.0
Sleeping with the Enemy,1991,6.2,58254.0,3702.0,2443.0,6937.0,14626.0,16498.0,8037.0,3129.0,1382.0,715.0,785.0,174999005.0
